id,text_display,text_kana,image_path
1,東京特許許可局,とうきょうとっきょきょかきょく,
2,坊主が屏風に上手に坊主の絵を描いた,ぼうずがびょうぶにじょうずにぼうずのえをえがいた,
3,生麦生米生卵,なまむぎなまごめなまたまご,
4,Ruby on Rails の世界,るびーおんれいるずのせかい,
5,JavaScript が動く音,じゃばすくりぷとがうごくおと,
6,Machine Learning ブーム,ましーんらーにんぐぶーむ,
7,高速道路トンネル事故,こうそくどうろとんねるじこ,
8,銀河系の超新星爆発,ぎんがけいのちょうしんせいばくはつ,
9,早口言葉,はやくちことば,
10,時代の流れに身を任せる,じだいのながれにみをまかせる,
11,情報システム部門統括,じょうほうしすてむぶもんとうかつ,
12,量子力学入門書,りょうしりきがくにゅうもんしょ,
13,人工知能研究所,じんこうちのうけんきゅうしょ,
14,多国籍企業の会議室,たこくせききぎょうのかいぎしつ,
15,気象衛星画像解析,きしょうえいせいがぞうかいせき,
16,深夜の繁華街騒音,しんやのはんかがいそうおん,
17,光回線インターネット,ひかりかいせんいんたーねっと,
18,国際宇宙法条約,こくさいうちゅうほうじょうやく,
19,開発者コンソール,かいはつしゃこんそーる,
20,未来都市計画論,みらいとしけいかくろん,
21,新型コロナ対策会議,しんがたころなたいさくかいぎ,
22,電動自転車の安全基準,でんどうじてんしゃのあんぜんきじゅん,
23,高高度長距離戦略,こうこうどちょうきょりせんりゃく,
24,超高速列車乱れ,ちょうこうそくれっしゃみだれ,
25,非公開データベース設計,ひこうかいでーたべーすせっけい,
26,開発生産性向上法,かいはつせいさんせいこうじょうほう,
27,気象観測衛星軌道,きしょうかんそくえいせいきどう,
28,音声認識研究会,おんせいにんしきけんきゅうかい,
29,複雑系ネットワーク,ふくざつけいねっとわーく,
30,電車遅延情報システム,でんしゃちえんじょうほうしすてむ,
31,銀河鉄道の夜空,ぎんがてつどうのよぞら,
32,古典文学評論会,こてんぶんがくひょうろんかい,
33,世界遺産登録審査,せかいいさんとうろくしんさ,
34,高速道路混雑率,こうそくどうろこんざつりつ,
35,新年度予算執行,しんねんどよさんしっこう,
36,宇宙船航行制御,うちゅうせんこうこうせいぎょ,
37,データセンター冷却,でーたせんたーれいきゃく,
38,国民保険制度改革,こくみんほけんせいどかいかく,
39,医療情報システム統合,いりょうじょうほうしすてむとうごう,
40,超長時間労働規制,ちょうちょうじかんろうどうきせい,
